Date,Region,Event,Filter,Source
17/2/2020,National,Government: Avoid travelling to parts of China (recommendation).,Travel regulations,https://www.dn.se/nyheter/varlden/ud-stramar-at-rekommendationerna-for-resor-till-kina/
2/3/20,National,Government: Avoid travelling to Iran (recommendation).,Travel regulations,https://www.regeringen.se/uds-reseinformation/ud-avrader/iran---avradan/
4/3/20,National ,Government: Expanded testing for Covid-19 (travelling in risk areas or pneumonia unknown cause),Testing,https://www.svt.se/nyheter/inrikes/nu-ska-fler-svenskar-testas-for-coronavirus
6/3/20,National ,Government: Avoid travel to South Korea (recommendation),Travel regulations,https://www.regeringen.se/uds-reseinformation/ud-avrader/sydkorea---avradan/
9/3/20,Stockholm,First case of community transmission,Critical cases,https://www.corren.se/nyheter/tidslinje-coronautbrottet-dag-for-dag-om6506361.aspx
10/3/20,National,Government: Avoid travelling to Italy (recommendation).,Travel regulations,https://www.regeringen.se/uds-reseinformation/ud-avrader/italien---avradan/
11/3/20,National,Government: Public meetings with more than 500 people banned (Ban). Paid first day of sick leave (removal of karensdag),Travel regulations,https://www.svt.se/nyheter/snabbkollen/regeringen-stoppar-stora-moten
14/3/2020,National,Government: Avoid all international travel (recommendation).,Travel regulations,https://www.krisinformation.se/nyheter/2020/mars/tank-over-om-resan-ar-nodvandig
17/3/2020,National,Government: Travel from non-EU/EES member states banned (Ban),Travel regulations,https://www.regeringen.se/artiklar/2020/03/fragor-och-svar--inresestopp-till-eu-via-sverige/
19/3/2020,National ,Government: Avoid unnecessary travel within Sweden ,Travel regulations,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2020/mars/tank-over-om-resan-verkligen-ar-nodvandig/
24/3/2020,National,Government: Restaurants and bars are restricted to mainly table service ,Travel regulations,https://www.svt.se/nyheter/inrikes/nya-forbudet-endast-bordsservering-tillats-pa-restauranger-och-barer
27/3/2020,National,Government: Avoid private meetings with more than 50 people (recommendation). </br>Government: Public meetings with more than 50 people banned (Ban).,Travel regulations,https://sverigesradio.se/sida/artikel.aspx?programid=493&artikel=7440340